name,color,line,x,y,w,h,amp_x,lx,x0,fwhm_x,off_x,amp_y,ly,y0,fwhm_y,off_y,smearing,fwhm_x_unsmear,lx_unsmear,x0_unsmear,amp_x_unsmear,l203,l214,l206,X_IMAGE,X_IMAGE_unsmear,Y_IMAGE,X_IMAGE_rot,Y_IMAGE_rot
LyC 3,red,214.0,1517.3624,1800.1765,10.0,20.0,663.3955345821497,6.299999999999563,22.04715495479994,8.326058083504964,6986.729464475021,444.01848000324026,22.306511208766366,25.33017987363404,4.201940519873045,7024.261935821684,-2.73624389128588,8.99729254073146,6.299999999777904,20.686255721873597,678.2499999999999,False,True,False,1519.4095549548,1518.0486557218735,1800.506679873634,1523.4908605348455,1797.0546173737505
LyC 4,red,214.0,1506.4124,1767.8565,10.0,20.0,658.1559359823228,6.299999999999997,21.338753620998602,9.199383700399485,6993.249162183801,537.139220809712,22.716757803187857,24.90989631166954,5.740294612654407,6992.253942246389,-2.7787584189598773,9.257625330350132,6.299999999977961,19.76790779103001,676.6999999999997,False,True,False,1507.7511536209986,1506.18030779103,1767.7663963116697,1511.7582039266888,1764.34087013665
LyC 5,red,214.0,1690.229,1726.5698,10.0,20.0,739.4816172013792,6.299999999987411,23.240295503451495,6.812436280262713,7041.763917960041,478.0883456871263,20.640316686561142,22.49899614812003,4.203055665377781,7016.528098733692,-2.5341430183597713,8.299871881103195,6.29447050273371,22.49998029679741,746.9477147302895,False,True,False,1693.4692955034516,1692.7289802967975,1724.06879614812,1697.3767211429747,1720.2220017156242
OVI 2,red,214.0,1585.439,1348.1298,10.0,20.0,577.7832870232068,6.299999999999976,21.576703969260368,6.1944821313147935,7041.836120358223,501.3561193565402,19.79522776984194,22.64121950627262,6.383035946515763,6991.362834233106,-1.759825861691543,6.096917448399889,6.299999999999999,20.619771925876808,609.8999999999995,False,True,False,1587.0157039692604,1586.058771925877,1345.7710195062725,1590.0650739302948,1342.1667341485725
OVI 3,red,214.0,1463.5225,1265.7654,10.0,20.0,563.8906934462082,6.299999999999999,21.505147668933866,9.118485055823285,6976.050663150284,476.81961499447414,21.869749529841663,25.337109545773178,7.7694403938683685,6979.40762521691,-2.8151847643167125,9.212533789380087,6.2999999999987155,19.974486350400014,587.8999999999995,False,True,False,1465.027647668934,1463.4969863504,1266.1025095457733,1467.8965696691173,1262.775211138591
OVI 5,red,214.0,1381.2725,1229.5954,10.0,20.0,514.4164851677978,6.299999999923913,20.60438406805239,10.292620256170055,6970.859835736783,466.814100341203,22.755128018108046,25.85326367615062,8.485617806850096,6975.642679803376,-2.8482798250342274,9.99999999999316,6.299999999999987,18.911297219254887,532.1500000000004,False,True,False,1381.8768840680525,1380.183797219255,1230.4486636761505,1384.665124158864,1227.310119978717
OVI 6,red,214.0,1568.6974,1122.1098,10.0,20.0,592.7099427009201,6.299999999999999,16.468230574832628,7.6512763318621335,6985.178856015799,377.35661119440476,22.635433098474607,19.696704096135885,4.971875321336862,7060.823412479146,0.02657048652355265,8.173705699385202,6.233174829246348,16.499995651366376,499.3852039264296,False,True,False,1565.1656305748327,1565.1973956513664,1116.8065040961358,1567.695553217707,1113.2523842981761
OVI 7,red,214.0,1472.0434,993.32974,10.0,20.0,334.1839630740457,6.29999999999456,20.479711852248453,7.926231929631738,6978.681820396256,308.36745900850104,23.00238580159459,28.585800726346495,5.587182873625191,6972.858105408137,-1.9021635991586756,7.591132950840847,6.299999999992788,19.361428081332104,345.74999999999994,False,True,False,1472.5231118522486,1471.4048280813322,996.9155407263465,1474.78124922481,993.5719285565804
OVI 8,red,214.0,1616.2934,973.09974,10.0,20.0,586.1999999876394,6.299999999999999,22.693407414190695,5.787782411482099,7001.9132804204955,365.0779804570291,21.942036548024294,25.182988604664555,4.388760328310864,6980.388911400878,-1.9321059745933937,7.0035475009507175,6.2999999999999785,22.031634609108856,586.1999999999997,False,True,False,1618.9868074141907,1618.3250346091088,973.2827286046645,1621.1909466830564,969.6068619673804
OVI 11,red,214.0,1407.24,406.6382,16.041215,24.596895,371.32000000000056,6.299999999984635,22.89868889186376,6.632912511168085,6963.62248061396,204.66026853086876,21.610823399343943,28.87565031494352,3.3884990928704197,6989.220419639391,-0.02452772344190153,6.6091744149373035,6.299998550479502,22.898630940819068,371.3199999999484,False,True,False,1407.1180813918636,1407.118023440819,408.2154028149435,1408.0406700213248,405.0217051482359
QSO 2,red,214.0,1400.7999,517.43922,17.401279,47.245036,417.9361702127651,6.299999999999996,23.219895930447773,6.668203501536371,6965.314700651241,230.51403200650847,40.783064115330454,38.070325588619035,4.6022215604454875,6964.448604731188,0.004102176127618609,6.668237612941048,6.2999999797344985,23.21989618710748,417.9361702127649,False,True,False,1400.3191564304477,1400.3191566871074,516.887027588619,1401.4883304441473,513.7084764575671
QSOgal 2,red,214.0,1377.7934,589.22975,10.0,20.0,372.52940168442456,6.299999999999868,17.864286961212773,6.843652818597104,6965.4475790257,332.39465713057797,22.462374471680015,29.991336919184647,3.7750420418680437,6968.130534941148,-0.7755039875440906,6.704607769058495,6.294252294195272,17.500016407914,369.13389488666337,False,True,False,1375.657686961213,1375.293416407914,594.2210869191846,1377.0023897180843,591.09829178029
